case	sample_id	meta_yaml_path	path
HCM-BROD-0001-C18	HCM-BROD-0001-C18-06A	/data1/shahs3/isabl_data_lake/analyses/56/21/35621/meta.yaml	/data1/shahs3/isabl_data_lake/analyses/56/21/35621/SHAH_H003083_T01_01_WG01_cn.csv
HCM-BROD-0001-C18	HCM-BROD-0001-C18-85M	/data1/shahs3/isabl_data_lake/analyses/61/08/36108/meta.yaml	/data1/shahs3/isabl_data_lake/analyses/61/08/36108/SHAH_H003083_T02_01_WG01_cn.csv
HCM-BROD-0002-C71	HCM-BROD-0002-C71-01A	/data1/shahs3/isabl_data_lake/analyses/61/04/36104/meta.yaml	/data1/shahs3/isabl_data_lake/analyses/61/04/36104/SHAH_H002833_T03_01_WG01_cn.csv
HCM-BROD-0002-C71	HCM-BROD-0002-C71-85A	/data1/shahs3/isabl_data_lake/analyses/24/32/32432/meta.yaml	/data1/shahs3/isabl_data_lake/analyses/24/32/32432/SHAH_H002833_T02_01_WG01_cn.csv
HCM-BROD-0002-C71	HCM-BROD-0002-C71-86A	/data1/shahs3/isabl_data_lake/analyses/24/31/32431/meta.yaml	/data1/shahs3/isabl_data_lake/analyses/24/31/32431/SHAH_H002833_T01_01_WG01_cn.csv
HCM-BROD-0003-C71	HCM-BROD-0003-C71-01A	/data1/shahs3/isabl_data_lake/analyses/56/22/35622/meta.yaml	/data1/shahs3/isabl_data_lake/analyses/56/22/35622/SHAH_H003084_T01_01_WG01_cn.csv
HCM-BROD-0003-C71	HCM-BROD-0003-C71-85B	/data1/shahs3/isabl_data_lake/analyses/56/23/35623/meta.yaml	/data1/shahs3/isabl_data_lake/analyses/56/23/35623/SHAH_H003084_T02_01_WG01_cn.csv
HCM-BROD-0003-C71	HCM-BROD-0003-C71-86A	/data1/shahs3/isabl_data_lake/analyses/56/24/35624/meta.yaml	/data1/shahs3/isabl_data_lake/analyses/56/24/35624/SHAH_H003084_T03_01_WG01_cn.csv
HCM-BROD-0007-C49	HCM-BROD-0007-C49-06A	/data1/shahs3/isabl_data_lake/analyses/24/30/32430/meta.yaml	/data1/shahs3/isabl_data_lake/analyses/24/30/32430/SHAH_H002832_T01_01_WG01_cn.csv
HCM-BROD-0007-C49	HCM-BROD-0007-C49-85B	/data1/shahs3/isabl_data_lake/analyses/61/09/36109/meta.yaml	/data1/shahs3/isabl_data_lake/analyses/61/09/36109/SHAH_H002832_T02_01_WG01_cn.csv
HCM-BROD-0011-C71	HCM-BROD-0011-C71-01A	/data1/shahs3/isabl_data_lake/analyses/56/25/35625/meta.yaml	/data1/shahs3/isabl_data_lake/analyses/56/25/35625/SHAH_H003085_T01_01_WG01_cn.csv
HCM-BROD-0011-C71	HCM-BROD-0011-C71-85A	/data1/shahs3/isabl_data_lake/analyses/56/26/35626/meta.yaml	/data1/shahs3/isabl_data_lake/analyses/56/26/35626/SHAH_H003085_T02_01_WG01_cn.csv
HCM-BROD-0012-C71	HCM-BROD-0012-C71-01A	/data1/shahs3/isabl_data_lake/analyses/56/27/35627/meta.yaml	/data1/shahs3/isabl_data_lake/analyses/56/27/35627/SHAH_H003086_T01_01_WG01_cn.csv
