id3	sample_id	sample_type	purity_ascat	purity_absolute	purity_remixt	purity_purple	purity_estimate	purity_hatchet	ploidy_ascat	ploidy_absolute	ploidy_remixt	ploidy_purple	ploidy_hatchet	consensus_purity	consensus_ploidy
HCM-SANG-0546-C15	HCM-SANG-0546-C15-08A	T	0.23	0.09	0.101560382	0.16	NA	0.147378	1.8	3.36	3.352661086	2.8	1.953430121	0.145787676	3.170887029
HCM-CSHL-0181-C25	HCM-CSHL-0181-C25-01A	T	0.44	0.09	0.58	0.22	0.58	0.104307	1.95	3.7	1.98	1.9	3.734438167	0.09	1.943333333
HCM-CSHL-0907-C50	HCM-CSHL-0907-C50-06A	T	1	0.1	0.156476072	0.22	0.36	0.0937127	2.05	2.48	1.808887483	3.5	2.789097225	0.1	2.48
HCM-BROD-0578-C15	HCM-BROD-0578-C15-06A	T	1	0.1	defer	0.4	0.43	0.0748445	1.95	4.09	defer	2	2.05254058	0.1	4.09
HCM-CSHL-0246-C19	HCM-CSHL-0246-C19-01B	T	0.42	0.1	defer	0.25	0.48	0.0712432	1.8	4.18	defer	2	2.218713198	0.1	4.18
HCM-SANG-1083-C16	HCM-SANG-1083-C16-08A	T	1	0.1	0.065792655	0.22	NA	0.0430937	1.95	1.38	2.87954667	2	4.721263456	0.1	1.38
HCM-SANG-1085-C20	HCM-SANG-1085-C20-08A	T	0.21	0.1	0.260884866	0.28	NA	0.130333	4.9	5.21	2.220029416	2.02	2.893718445	0.196243573	5.21
HCM-BROD-0101-C15	HCM-BROD-0101-C15-06A	T	0.64	0.1	defer	0.44	NA	0.0712221	1.9	1.58	defer	2	2.837350869	0.1	1.826666667
HCM-SANG-1304-C20	HCM-SANG-1304-C20-01A	T	0.29	0.1	0.047276514	0.14	NA	0.0535758	1.8	4.09	3.827832395	2	2.599062842	0.126170463	4.09
HCM-BROD-0019-C25	HCM-BROD-0019-C25-01B	T	0.4	0.11	defer	0.27	0.42	0.116468	1.96	1.89	defer	1.88	2.345915722	0.11	1.89
HCM-CSHL-0191-C25	HCM-CSHL-0191-C25-01A	T	0.37	0.11	defer	0.08	0.67	0.03	1.85	4.35	defer	2	1.648556367	0.11	4.35
HCM-SANG-1081-C20	HCM-SANG-1081-C20-08A	T	0.34	0.11	failed	0.18	NA	0.0982204	1.85	2.92	failed	1.96	2.995885683	0.1820551	2.92
HCM-SANG-0541-C20	HCM-SANG-0541-C20-08A	T	0.3	0.11	0.070730935	0.18	NA	0.0364892	1.8	2	3.213871313	2	2.025289028	0.139444027	1.956322257
HCM-WCMC-0788-C34	HCM-WCMC-0788-C34-01A	T	0.3	0.11	0.43	0.17	0.43	0.121658	1.8	5.38	2.22	3.5	3.048414988	0.260276333	5.38
HCM-CSHL-0434-C24	HCM-CSHL-0434-C24-06A	T	1	0.13	0.56	0.16	0.45	0.196368	1.95	1.93	1.87	2.78	1.822876221	0.13	1.893219055
HCM-SANG-1312-C20	HCM-SANG-1312-C20-08A	T	0.26	0.13	0.09170743	0.08	NA	0.100527	1.75	1.97	3.239934694	2	2.003621621	0.132446886	1.930905405
HCM-BROD-0448-C15	HCM-BROD-0448-C15-06A	T	0.18	0.14	0.14	0.17	0.57	0.214899	1.95	3.19	3.35	3.1	1.894338729	0.1689798	3.213333333
HCM-SANG-0284-C18	HCM-SANG-0284-C18-01A	T	0.4	0.14	0.21	0.17	0.78	0.145401	2	3.37	5.4	3.35	3.402008008	0.2130802	3.374002669
HCM-SANG-1302-C15	HCM-SANG-1302-C15-08A	T	1	0.14	failed	0.17	NA	0.0878318	1.95	1.96	failed	1.98	2.134598432	0.14	2.006149608
HCM-BROD-0719-C43	HCM-BROD-0719-C43-06B	T	1	0.15	NA	0.18	0.46	0.134751	2.1	5.16	NA	5.2	4.275683661	0.15	4.87856122
HCM-SANG-1323-C15	HCM-SANG-1323-C15-08A	T	1	0.15	0.186022135	0.19	NA	0.208498	2.2	2.69	2.637687945	4.65	1.712634799	0.183630034	2.69
HCM-CSHL-0377-C18	HCM-CSHL-0377-C18-01A	T	0.37	0.15	defer	0.46	0.85	0.169138	1.85	2.06	defer	2	2.01510524	0.15	1.98127631
HCM-BROD-0869-C43	HCM-BROD-0869-C43-06A	T	0.71	0.16	0.483864278	0.2	0.54	0.0485683	1.9	3.9	2.147780688	2.2	3.550679971	0.34596607	2.082593563
HCM-SANG-1299-C15	HCM-SANG-1299-C15-08A	T	0.34	0.16	0.124925891	0.18	NA	0.0714657	1.75	3.23	4.032300414	3.15	2.41998249	0.175278318	3.23
HCM-BROD-0962-C16	HCM-BROD-0962-C16-06A	T	0.23	0.16	0.150365665	0.2	0.46	0.0573476	1.8	1.88	1.962122184	2	2.397648106	0.159542653	2.007954058
HCM-SANG-1094-C16	HCM-SANG-1094-C16-01A	T	0.39	0.17	0.197861156	0.29	NA	0.0989987	1.95	5.73	4.956595917	2.94	2.959273681	0.229371971	5.73
HCM-CSHL-0094-C25	HCM-CSHL-0094-C25-01A	T	1	0.17	0.19	0.21	0.5	0.268416	2	3.01	2.98	2.96	1.772008729	0.292104	2.983333333
